"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 50","23,880.55","24,036.20","23,856.35","23,775.10","24,008.65","-","233.55","0.98","23,07,20,037","19,150.44","26,373.20","22,182.55","-1.04","7.19"
"TCS","2,565.80","2,565.80","2,501.10","2,589.00","2,507.20","-","-81.80","-3.16","63,79,896","1,610.48","3,630.50","2,346.20","-0.21","-22.75"
"HDFCBANK","804.00","812.25","801.00","797.70","809.60","-","11.90","1.49","1,97,38,812","1,595.69","1,020.50","726.65","-4.60","-8.18"
"INFY","1,318.00","1,318.90","1,283.30","1,331.60","1,284.60","-","-47.00","-3.53","98,06,165","1,268.81","1,728.00","1,215.10","-0.86","-8.49"
"RELIANCE","1,337.00","1,351.00","1,331.50","1,330.00","1,348.00","-","18.00","1.35","89,23,244","1,200.87","1,611.80","1,168.00","-4.28","13.76"
"ICICIBANK","1,289.00","1,323.70","1,288.50","1,281.30","1,318.60","-","37.30","2.91","72,31,945","950.59","1,500.00","1,187.60","0.53","1.38"
"SBIN","1,049.00","1,064.95","1,046.15","1,040.95","1,055.50","-","14.55","1.40","77,34,125","817.63","1,234.70","741.00","-5.11","42.19"
"SUNPHARMA","1,699.20","1,700.00","1,630.40","1,717.10","1,635.10","-","-82.00","-4.78","45,70,767","755.15","1,851.20","1,548.00","-9.90","-1.14"
"WIPRO","208.70","208.70","200.62","202.87","201.58","-","-1.29","-0.64","3,17,90,297","649.32","273.10","186.50","0.34","-14.81"
"ETERNAL","240.40","241.50","237.11","237.89","241.45","-","3.56","1.50","2,28,50,986","547.42","368.45","209.86","6.56","14.24"
"LT","3,932.00","3,964.40","3,915.60","3,896.20","3,951.10","-","54.90","1.41","11,94,380","471.32","4,440.00","3,048.00","1.95","29.38"
"BAJFINANCE","915.75","925.35","912.30","903.25","922.40","-","19.15","2.12","49,21,652","453.06","1,102.50","787.90","-1.82","5.62"
"KOTAKBANK","373.50","379.15","372.60","371.90","378.15","-","6.25","1.68","1,12,23,710","423.28","460.38","345.50","-3.47","-7.87"
"M&M","3,180.00","3,262.00","3,180.00","3,166.80","3,258.00","-","91.20","2.88","13,03,476","421.39","3,839.90","2,515.95","-1.10","29.11"
"ASIANPAINT","2,267.70","2,372.00","2,267.70","2,269.60","2,359.80","-","90.20","3.97","17,27,819","405.00","2,985.70","2,115.00","3.47","-2.14"
"AXISBANK","1,328.80","1,358.60","1,326.10","1,318.50","1,351.70","-","33.20","2.52","29,62,250","399.94","1,418.30","1,042.50","2.81","27.31"
"TITAN","4,430.10","4,490.00","4,425.10","4,439.80","4,482.60","-","42.80","0.96","8,80,669","391.94","4,505.00","3,090.70","6.20","41.20"
"SHRIRAMFIN","1,016.10","1,031.00","1,011.25","996.30","1,020.30","-","24.00","2.41","38,12,471","390.13","1,108.00","566.50","-3.99","63.40"
"BHARTIARTL","1,868.00","1,874.60","1,863.10","1,859.40","1,870.00","-","10.60","0.57","19,93,994","372.58","2,174.50","1,711.60","1.03","8.97"
"MARUTI","13,650.00","13,797.00","13,590.00","13,589.00","13,752.00","-","163.00","1.20","2,61,112","358.04","17,370.00","11,289.00","-0.81","20.04"
"HINDALCO","995.35","995.55","978.65","985.65","985.55","-","-0.10","-0.01","34,06,982","335.90","1,029.80","552.20","3.07","74.82"
"BAJAJ-AUTO","9,400.00","9,738.00","9,399.50","9,517.00","9,725.00","-","208.00","2.19","3,33,177","321.70","10,187.00","7,460.50","1.20","28.44"
"ADANIPORTS","1,442.00","1,473.20","1,438.30","1,447.40","1,468.10","-","20.70","1.43","20,34,067","296.39","1,584.00","1,112.00","3.08","29.70"
"INDIGO","4,490.00","4,547.40","4,460.00","4,449.10","4,540.90","-","91.80","2.06","6,49,728","292.80","6,232.50","3,895.20","3.61","-12.62"
"ITC","303.00","305.00","302.60","303.00","304.25","-","1.25","0.41","92,96,209","282.36","444.20","287.00","-1.54","-26.90"
"TATASTEEL","207.98","209.00","205.40","205.20","205.82","-","0.62","0.30","1,33,27,138","275.65","216.45","125.30","5.63","61.95"
"EICHERMOT","7,201.00","7,387.00","7,201.00","7,147.50","7,387.00","-","239.50","3.35","3,67,515","268.81","8,230.00","5,182.35","-2.04","40.40"
"ULTRACEMCO","11,500.00","11,643.00","11,476.00","11,448.00","11,571.00","-","123.00","1.07","2,26,507","262.24","13,110.00","10,325.00","-0.66","1.58"
"COALINDIA","455.00","459.60","452.05","454.10","453.95","-","-0.15","-0.03","56,12,869","254.71","476.00","368.65","2.32","21.16"
"BEL","444.10","447.45","440.80","439.75","442.25","-","2.50","0.57","57,04,578","253.28","473.45","276.60","-4.50","57.95"
"HINDUNILVR","2,133.20","2,170.00","2,121.40","2,133.20","2,150.80","-","17.60","0.83","11,54,334","248.44","2,750.00","2,022.50","-1.82","-8.49"
"HCLTECH","1,452.00","1,457.60","1,421.10","1,464.90","1,424.40","-","-40.50","-2.76","15,86,926","227.42","1,780.10","1,297.70","4.63","3.22"
"TRENT","3,880.00","3,935.10","3,871.30","3,850.70","3,913.50","-","62.80","1.63","5,55,704","217.16","6,261.00","3,275.50","5.36","-15.28"
"MAXHEALTH","954.95","959.45","941.50","954.95","949.00","-","-5.95","-0.62","20,57,270","195.47","1,314.30","903.00","-8.90","-15.39"
"ONGC","288.60","291.85","287.10","288.60","289.25","-","0.65","0.23","64,22,797","185.82","293.00","220.26","7.47","30.35"
"TMPV","336.60","339.65","335.00","333.25","339.30","-","6.05","1.82","51,24,635","173.14","744.00","294.30","-1.75","-41.82"
"POWERGRID","301.10","303.50","299.75","298.10","301.00","-","2.90","0.97","56,91,853","171.44","322.00","250.00","0.82","2.62"
"JIOFIN","240.70","243.80","240.00","238.84","243.23","-","4.39","1.84","69,19,397","167.74","338.60","218.25","3.13","10.17"
"APOLLOHOSP","7,500.00","7,563.00","7,461.50","7,481.50","7,556.00","-","74.50","1.00","2,13,683","160.93","8,099.50","6,665.00","-3.20","10.52"
"ADANIENT","2,043.10","2,084.00","2,041.70","2,040.50","2,077.70","-","37.20","1.82","7,68,006","158.74","2,616.50","1,753.00","4.07","-4.33"
"NTPC","381.20","384.45","379.00","378.65","380.85","-","2.20","0.58","34,72,073","132.22","394.50","315.55","0.97","9.05"
"TECHM","1,461.00","1,461.00","1,426.00","1,461.60","1,429.30","-","-32.30","-2.21","8,87,177","127.29","1,854.00","1,264.35","6.95","12.32"
"CIPLA","1,225.40","1,239.00","1,220.80","1,224.40","1,235.70","-","11.30","0.92","10,16,446","125.30","1,673.00","1,165.70","-7.36","-12.73"
"DRREDDY","1,212.80","1,236.80","1,208.80","1,211.90","1,236.30","-","24.40","2.01","8,46,332","103.54","1,379.70","1,061.65","-5.95","13.01"
"HDFCLIFE","595.00","602.20","590.50","591.20","601.75","-","10.55","1.78","14,00,662","83.78","820.75","555.10","-8.32","-12.16"
"JSWSTEEL","1,210.00","1,224.80","1,210.00","1,209.70","1,213.70","-","4.00","0.33","6,05,146","73.72","1,284.70","935.00","-0.06","28.35"
"BAJAJFINSV","1,777.80","1,809.00","1,776.10","1,767.70","1,802.90","-","35.20","1.99","3,85,640","69.41","2,195.00","1,597.00","-3.49","-4.91"
